[2022-03-25 09:43:31.002] [main] INFO  [SpringBootTestContextBootstrapper] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.tenero.blog.BlogAppApplicationTests], using SpringBootContextLoader
[2022-03-25 09:43:31.010] [main] INFO  [AbstractContextLoader] - Could not detect default resource locations for test class [com.tenero.blog.BlogAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
[2022-03-25 09:43:31.010] [main] INFO  [AnnotationConfigContextLoaderUtils] - Could not detect default configuration classes for test class [com.tenero.blog.BlogAppApplicationTests]: BlogAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[2022-03-25 09:46:31.450] [main] INFO  [SpringBootTestContextBootstrapper] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.tenero.blog.BlogAppApplicationTests], using SpringBootContextLoader
[2022-03-25 09:46:31.454] [main] INFO  [AbstractContextLoader] - Could not detect default resource locations for test class [com.tenero.blog.BlogAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
[2022-03-25 09:46:31.455] [main] INFO  [AnnotationConfigContextLoaderUtils] - Could not detect default configuration classes for test class [com.tenero.blog.BlogAppApplicationTests]: BlogAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[2022-03-25 09:47:46.494] [main] INFO  [SpringBootTestContextBootstrapper] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.tenero.blog.BlogAppApplicationTests], using SpringBootContextLoader
[2022-03-25 09:47:46.499] [main] INFO  [AbstractContextLoader] - Could not detect default resource locations for test class [com.tenero.blog.BlogAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
[2022-03-25 09:47:46.643] [main] INFO  [SpringBootTestContextBootstrapper] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
[2022-03-25 09:47:46.658] [main] INFO  [SpringBootTestContextBootstrapper] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@18f8cd79, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3e2055d6, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@50029372, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@e3b3b2f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@50f6ac94, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6cc4cdb9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@28194a50, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7f2cfe3f, org.springframework.test.context.event.EventPublishingTestExecutionListener@1a5b6f42, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5038d0b5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@32115b28, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2ad48653, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6bb4dd34, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7d9f158f, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@45efd90f]
[2022-03-25 09:47:46.926] [main] INFO  [BlogAppApplicationTests] - Starting BlogAppApplicationTests using Java 1.8.0_45 on zkfy-0022 with PID 14640 (started by zkfy in F:\code\blog\blog_app)
[2022-03-25 09:47:46.927] [main] INFO  [BlogAppApplicationTests] - No active profile set, falling back to default profiles: default
[2022-03-25 09:47:47.739] [main] INFO  [RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
[2022-03-25 09:47:47.741] [main] INFO  [RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2022-03-25 09:47:47.762] [main] INFO  [RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
[2022-03-25 09:47:47.994] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'shiroConfig' of type [com.tenero.blog.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$59d948e2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.206] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.212] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$89d68707] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.213] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.226] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.244] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'dataSource' of type [com.zaxxer.hikari.HikariDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.372] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.378] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.378] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'blogUserMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.379] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'blogUserMapper' of type [com.sun.proxy.$Proxy85] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.379] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'blogUserServiceImpl' of type [com.tenero.blog.service.impl.BlogUserServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.382] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'blogRoleMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.382] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'blogRoleMapper' of type [com.sun.proxy.$Proxy86] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
